名,メイ・ミョウ・な・~な,MEI / MYOU / na / -na,name; noted; distinguished; reputation
語,ゴ・かた.る・かた.らう,GO / kata.ru / kata.rau,word; speech; language
校,コウ・キョウ,KOU / KYOU,exam; school; printing; proof; correction
電,デン,DEN,electricity
西,セイ・サイ・ス・にし,SEI / SAI / SU / nishi,west; Spain
男,ダン・ナン・おとこ・お,DAN / NAN / otoko / o,male
半,ハン・なか.ば,HAN / naka.ba,half; middle; odd number; semi-; part-
水,スイ・みず・みず~,SUI / mizu / mizu-,water
千,セン・ち,SEN / chi,thousand
川,セン・かわ,SEN / kawa,stream; river; river or three-stroke river radical (no. 47)
土,ド・ト・つち,DO / TO / tsuchi,soil; earth; ground; Turkey
先,セン・さき・ま.ず,SEN / saki / ma.zu,before; ahead; previous; future; precedence
書,ショ・か.く・~が.き・~がき,SHO / ka.ku / -ga.ki / -gaki,write
百,ヒャク・ビャク・もも,HYAKU / BYAKU / momo,hundred
午,ゴ・うま,GO / uma,noon; sign of the horse; 11AM-1PM; seventh sign of Chinese zodiac
北,ホク・きた,HOKU / kita,north
女,ジョ・ニョ・ニョウ・おんな・め,JO / NYO / NYOU / onna / me,woman; female
話,ワ・はな.す・はなし,WA / hana.su / hanashi,tale; talk
山,サン・セン・やま,SAN / SEN / yama,mountain
七,シチ・なな・なな.つ・なの,SHICHI / nana / nana.tsu / nano,seven
天,テン・あまつ・あめ・あま~,TEN / amatsu / ame / ama-,heavens; sky; imperial
雨,ウ・あめ・あま~・~さめ,U / ame / ama- / -same,rain
父,フ・ちち,FU / chichi,father
休,キュウ・やす.む・やす.まる・やす.める,KYUU / yasu.mu / yasu.maru / yasu.meru,rest; day off; retire; sleep
左,サ・シャ・ひだり,SA / SHA / hidari,left
友,ユウ・とも,YUU / tomo,friend
読,ドク・トク・トウ・よ.む・~よ.み,DOKU / TOKU / TOU / yo.mu / -yo.mi,read
右,ウ・ユウ・みぎ,U / YUU / migi,right
火,カ・ひ・~び・ほ~,KA / hi / -bi / ho-,fire
母,ボ・はは・も,BO / haha / mo,mother
小,ショウ・ちい.さい・こ~・お~・さ~,SHOU / chii.sai / ko- / o- / sa-,little; small
白,ハク・ビャク・しろ・しら~・しろ.い,HAKU / BYAKU / shiro / shira- / shiro.i,white
毎,マイ・ごと・~ごと.に,MAI / goto / -goto.ni,every
万,マン・バン・よろず,MAN / BAN / yorozu,"ten thousand; 10,000"
南,ナン・ナ・みなみ,NAN / NA / minami,south
何,カ・なに・なん・なに~・なん~,KA / nani / nan / nani- / nan-,what
車,シャ・くるま,SHA / kuruma,car
食,ショク・ジキ・く.う・く.らう・た.べる・は.む,SHOKU / JIKI / ku.u / ku.rau / ta.beru / ha.mu,eat; food
聞,ブン・モン・き.く・き.こえる,BUN / MON / ki.ku / ki.koeru,hear; ask; listen
木,ボク・モク・き・こ~,BOKU / MOKU / ki / ko-,tree; wood
長,チョウ・なが.い・おさ,CHOU / naga.i / osa,long; leader; superior; senior
生,セイ・ショウ・い.きる・い.かす・い.ける・う.まれる・うま.れる・う.まれ・うまれ・う.む・お.う・は.える・は.やす・き・なま・なま~・な.る・な.す・む.す・~う,SEI / SHOU / i.kiru / i.kasu / i.keru / u.mareru / uma.reru / u.mare / umare / u.mu / o.u / ha.eru / ha.yasu / ki / nama / nama- / na.ru / na.su / mu.su / -u,life; genuine; birth
前,ゼン・まえ・~まえ,ZEN / mae / -mae,in front; before
後,ゴ・コウ・のち・うし.ろ・うしろ・あと・おく.れる,GO / KOU / nochi / ushi.ro / ushiro / ato / oku.reru,behind; back; later
月,ゲツ・ガツ・つき,GETSU / GATSU / tsuki,month; moon
見,ケン・み.る・み.える・み.せる,KEN / mi.ru / mi.eru / mi.seru,see; hopes; chances; idea; opinion; look at; visible
行,コウ・ギョウ・アン・い.く・ゆ.く・~ゆ.き・~ゆき・~い.き・~いき・おこな.う・おこ.なう,KOU / GYOU / AN / i.ku / yu.ku / -yu.ki / -yuki / -i.ki / -iki / okona.u / oko.nau,going; journey; carry out; conduct; act; line; row; bank
時,ジ・とき・~どき,JI / toki / -doki,time; hour
三,サン・ゾウ・み・み.つ・みっ.つ,SAN / ZOU / mi / mi.tsu / mi.tsu,three
出,シュツ・スイ・で.る・~で・だ.す・~だ.す・い.でる・い.だす,SHUTSU / SUI / de.ru / -de / da.su / -da.su / i.deru / i.dasu,exit; leave; go out; come out; put out; protrude
五,ゴ・いつ・いつ.つ,GO / itsu / itsu.tsu,five
中,チュウ・なか・うち・あた.る,CHUU / naka / uchi / ata.ru,in; inside; middle; mean; center
本,ホン・もと,HON / moto,book; present; main; origin; true; real; counter for long cylindrical things
二,ニ・ジ・ふた・ふた.つ・ふたたび,NI / JI / futa / futa.tsu / futatabi,two; two radical (no. 7)
十,ジュウ・ジッ・ジュッ・とお・と,JUU / JI / JU / too / to,ten
大,ダイ・タイ・おお~・おお.きい・~おお.いに,DAI / TAI / oo- / oo.kii / -oo.ini,large; big
年,ネン・とし,NEN / toshi,year; counter for years
人,ジン・ニン・ひと・~り・~と,JIN / NIN / hito / -ri / -to,person
国,コク・くに,KOKU / kuni,country
一,イチ・イツ・ひと~・ひと.つ,ICHI / ITSU / hito- / hito.tsu,one; one radical (no.1)
学,ガク・まな.ぶ,GAKU / mana.bu,study; learning; science
気,キ・ケ・いき,KI / KE / iki,spirit; mind; air; atmosphere; mood
来,ライ・タイ・く.る・きた.る・きた.す・き.たす・き.たる・き・こ,RAI / TAI / ku.ru / kita.ru / kita.su / ki.tasu / ki.taru / ki / ko,come; due; next; cause; become
下,カ・ゲ・した・しも・もと・さ.げる・さ.がる・くだ.る・くだ.り・くだ.す・~くだ.す・くだ.さる・お.ろす・お.りる,KA / GE / shita / shimo / moto / sa.geru / sa.garu / kuda.ru / kuda.ri / kuda.su / -kuda.su / kuda.saru / o.rosu / o.riru,below; down; descend; give; low; inferior
